Method,Avg Queue Length (veh),Avg Intersection Wait Time (s),Total Throughput (veh),Safety (Collisions/Teleports),Emergency Stops (Stability),Total Reward
Traditional (Fixed Lanes),64.63819,7342.288888888889,249,0,0,-46539.5
MDLA-S (Dynamic RL),45.295834,4134.083333333333,279,0,0,-32678.0
